Borough,Major Category,Minor Category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Enfield,Criminal Damage,Criminal Damage To Other Building,275,308,283,268,166,158,164,159,177,188,141
Enfield,Criminal Damage,Other Criminal Damage,592,670,556,469,504,451,526,625,586,570,708
Enfield,Drugs,Drug Trafficking,144,115,210,145,119,234,107,136,136,102,88
Enfield,Drugs,Other Drugs,7,11,1,6,8,13,7,9,9,9,3
Enfield,Drugs,Possession Of Drugs,2180,1633,1593,1403,1031,1388,1341,1132,934,934,823
Enfield,Fraud or Forgery,Counted per Victim,689,498,843,896,602,57,0,0,0,0,0
Enfield,Fraud or Forgery,Other Fraud & Forgery,411,557,535,430,381,71,43,37,32,56,45
Enfield,Other Notifiable Offences,Going Equipped,17,17,23,20,15,19,22,18,9,16,12
Enfield,Other Notifiable Offences,Other Notifiable,251,286,404,382,298,328,434,420,524,508,617
Enfield,Robbery,Business Property,100,137,136,92,141,71,44,72,54,72,74
Enfield,Robbery,Personal Property,1039,1097,1181,1090,1019,879,741,885,771,930,1161
Enfield,Sexual Offences,Other Sexual,192,217,213,184,172,201,286,290,345,376,416
Enfield,Sexual Offences,Rape,51,93,121,118,117,139,167,191,204,252,262
Enfield,Theft and Handling,Handling Stolen Goods,118,94,65,68,46,75,54,56,49,41,28
Enfield,Theft and Handling,Motor Vehicle Interference & Tampering,85,88,124,238,234,249,223,349,453,0,0
Enfield,Theft and Handling,Other Theft,2076,1978,1957,2259,2786,2795,3175,2856,2826,2945,2984
Enfield,Theft and Handling,Other Theft Person,498,544,521,449,592,599,463,464,523,576,677
Enfield,Theft and Handling,Theft From Motor Vehicle,3190,2605,2746,2922,2963,3218,2112,2221,2000,2284,3090
Enfield,Theft and Handling,Theft From Shops,900,926,962,817,905,911,1010,1061,1198,1496,1323
Enfield,Theft and Handling,Theft/Taking Of Motor Vehicle,1257,1061,1034,1126,793,876,770,636,806,1213,1710
Enfield,Theft and Handling,Theft/Taking of Pedal Cycle,173,273,244,275,248,203,247,276,256,298,202
Enfield,Violence Against the Person,Assault with Injury,1690,1675,1628,1548,1520,1343,1649,1694,1676,1660,1649
Enfield,Violence Against the Person,Common Assault,1025,1267,1378,1341,1195,1084,1546,1798,1965,2083,2272
Enfield,Violence Against the Person,Grievous Bodily Harm,95,308,132,0,0,0,0,0,0,0,0
Enfield,Violence Against the Person,Harassment,779,817,836,865,1128,1367,1692,2235,2512,2545,2963
Enfield,Violence Against the Person,Murder,9,3,3,5,3,5,5,6,1,8,4
Enfield,Violence Against the Person,Offensive Weapon,207,192,198,177,102,131,191,139,189,245,219
Enfield,Violence Against the Person,Other violence,203,229,237,180,174,204,270,284,391,388,479
Enfield,Violence Against the Person,Wounding/GBH,130,0,69,148,174,433,670,622,731,856,814
Greenwich,Burglary,Burglary in a Dwelling,2137,1999,1916,1643,1547,1451,1353,1131,1079,1573,1826
Greenwich,Burglary,Burglary in Other Buildings,1389,1168,925,915,780,940,800,742,704,1128,1070
Greenwich,Criminal Damage,Criminal Damage To Dwelling,1330,1360,1102,936,645,602,532,568,645,632,520
Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,1727,1401,1275,991,879,787,773,948,974,1107,785
Greenwich,Criminal Damage,Criminal Damage To Other Building,278,295,251,292,209,187,175,180,215,207,166
Greenwich,Criminal Damage,Other Criminal Damage,748,730,633,617,531,467,514,593,653,673,713
Greenwich,Drugs,Drug Trafficking,140,143,129,254,162,117,144,111,130,215,83
Greenwich,Drugs,Other Drugs,4,8,8,10,5,9,11,11,1,8,1
Greenwich,Drugs,Possession Of Drugs,1854,1384,983,1132,1139,1186,1101,820,723,755,773
Greenwich,Fraud or Forgery,Counted per Victim,898,700,941,695,464,72,0,0,0,0,0
Greenwich,Fraud or Forgery,Other Fraud & Forgery,426,466,489,323,332,55,45,45,56,49,46
Greenwich,Other Notifiable Offences,Going Equipped,14,15,16,16,11,11,6,7,14,13,10
Greenwich,Other Notifiable Offences,Other Notifiable,371,483,405,338,366,390,451,512,525,649,640
Greenwich,Robbery,Business Property,124,62,150,81,66,42,51,59,42,58,68
Greenwich,Robbery,Personal Property,1060,801,722,798,516,433,359,408,446,580,576
Greenwich,Sexual Offences,Other Sexual,275,286,295,322,260,220,291,347,374,418,434
Greenwich,Sexual Offences,Rape,80,80,87,95,91,117,175,172,189,273,287
Greenwich,Theft and Handling,Handling Stolen Goods,72,78,43,97,43,42,55,41,52,44,25
Greenwich,Theft and Handling,Motor Vehicle Interference & Tampering,244,253,176,151,140,163,211,296,355,0,0
Greenwich,Theft and Handling,Other Theft,2666,2512,2706,2918,3374,2823,2776,2645,2886,2881,2897
Greenwich,Theft and Handling,Other Theft Person,495,658,602,626,778,631,474,487,604,569,493
Greenwich,Theft and Handling,Theft From Motor Vehicle,3374,2547,2547,2024,1658,1669,1512,1245,1471,1629,1890
Greenwich,Theft and Handling,Theft From Shops,1292,1341,1329,1124,1151,1251,1467,1407,1461,1663,1564
Greenwich,Theft and Handling,Theft/Taking Of Motor Vehicle,1278,926,836,762,585,604,572,727,879,1016,1131
Greenwich,Theft and Handling,Theft/Taking of Pedal Cycle,331,418,415,433,353,320,278,298,386,352,345
Greenwich,Violence Against the Person,Assault with Injury,2785,2385,2327,2241,1911,1515,1704,1764,1928,1907,1933
Greenwich,Violence Against the Person,Common Assault,1268,1404,1424,1320,1326,1307,1770,2216,2350,2615,2568
Greenwich,Violence Against the Person,Grievous Bodily Harm,221,418,184,0,0,0,0,0,0,0,0
Greenwich,Violence Against the Person,Harassment,1937,1493,1247,1030,1477,1449,1875,2589,3078,2969,3298
Greenwich,Violence Against the Person,Murder,4,7,4,6,4,4,0,7,4,7,11
Greenwich,Violence Against the Person,Offensive Weapon,194,143,133,132,86,87,109,115,120,217,184
Greenwich,Violence Against the Person,Other violence,265,375,272,248,323,280,291,321,388,421,427
Greenwich,Violence Against the Person,Wounding/GBH,157,0,111,275,267,511,749,802,799,897,885
Hackney,Burglary,Burglary in a Dwelling,1565,1619,1387,1365,1411,1544,1410,1352,1470,1936,2352
Hackney,Burglary,Burglary in Other Buildings,1089,1127,1102,961,990,1252,1240,1144,1252,1371,1310
Hackney,Criminal Damage,Criminal Damage To Dwelling,754,696,643,597,511,485,445,446,475,456,407
Hackney,Criminal Damage,Criminal Damage To Motor Vehicle,1041,903,895,763,656,597,738,802,695,709,591
Hackney,Criminal Damage,Criminal Damage To Other Building,249,237,250,253,227,196,227,233,257,265,202
Hackney,Criminal Damage,Other Criminal Damage,560,527,482,471,477,397,492,540,555,594,674
Hackney,Drugs,Drug Trafficking,182,273,170,427,154,243,176,155,161,129,98
Hackney,Drugs,Other Drugs,30,34,27,24,15,11,10,7,9,9,8
Hackney,Drugs,Possession Of Drugs,4426,3603,2567,2029,2052,1631,1125,1157,1196,1129,1353
Hackney,Fraud or Forgery,Counted per Victim,505,509,516,491,525,31,0,0,0,0,0
Hackney,Fraud or Forgery,Other Fraud & Forgery,358,401,319,284,317,43,28,30,18,32,48
Hackney,Other Notifiable Offences,Going Equipped,49,35,30,16,25,33,27,23,17,32,25
Hackney,Other Notifiable Offences,Other Notifiable,379,386,340,301,318,344,413,447,513,496,501
Hackney,Robbery,Business Property,95,119,110,96,59,55,74,74,75,78,109
Hackney,Robbery,Personal Property,1043,880,1072,1076,1216,999,899,953,976,1398,1495
Hackney,Sexual Offences,Other Sexual,299,321,310,229,255,267,351,400,466,470,478
Hackney,Sexual Offences,Rape,128,120,120,150,131,145,182,224,245,332,303
Hackney,Theft and Handling,Handling Stolen Goods,120,88,60,67,47,57,65,54,58,45,30
Hackney,Theft and Handling,Motor Vehicle Interference & Tampering,288,303,264,203,194,156,198,323,267,0,0
Hackney,Theft and Handling,Other Theft,3530,3508,3852,4679,4596,4322,3804,3819,3887,3708,3938
Hackney,Theft and Handling,Other Theft Person,1321,1585,1991,2631,3291,3033,1990,2398,2727,3476,2256
Hackney,Theft and Handling,Theft From Motor Vehicle,2534,2100,2373,1859,2268,1945,1569,1694,1607,1871,2080
Hackney,Theft and Handling,Theft From Shops,681,682,643,773,707,748,733,730,1180,1103,891
Hackney,Theft and Handling,Theft/Taking Of Motor Vehicle,1063,818,777,936,726,583,566,564,652,906,918
Hackney,Theft and Handling,Theft/Taking of Pedal Cycle,1191,1585,1510,1578,1599,1371,1328,1277,1437,1708,1688
Hackney,Violence Against the Person,Assault with Injury,2194,2186,2064,1837,1935,1544,1664,1795,1826,1879,1840
Hackney,Violence Against the Person,Common Assault,1446,1450,1547,1537,1575,1505,2070,2410,2555,2676,2709
Hackney,Violence Against the Person,Grievous Bodily Harm,158,433,248,0,0,0,0,0,0,0,0
Hackney,Violence Against the Person,Harassment,1750,1706,1662,1322,1605,1616,2020,2681,2943,3111,3177
Hackney,Violence Against the Person,Murder,8,8,5,2,4,7,6,6,1,3,8
Hackney,Violence Against the Person,Offensive Weapon,356,240,243,187,125,149,156,213,221,330,280
Hackney,Violence Against the Person,Other violence,451,479,407,275,282,317,307,412,449,483,437
Hackney,Violence Against the Person,Wounding/GBH,214,0,105,247,278,663,887,927,942,1092,991
Hammersmith and Fulham,Burglary,Burglary in a Dwelling,1861,1419,1668,1846,1253,1010,966,1031,935,1329,1380
Hammersmith and Fulham,Burglary,Burglary in Other Buildings,629,554,599,683,618,521,487,549,597,1067,907
Hammersmith and Fulham,Criminal Damage,Criminal Damage To Dwelling,610,616,576,468,395,262,307,344,344,327,306
Hammersmith and Fulham,Criminal Damage,Criminal Damage To Motor Vehicle,859,753,802,717,625,506,501,539,516,507,428
Hammersmith and Fulham,Criminal Damage,Criminal Damage To Other Building,256,246,238,207,175,167,193,151,169,142,124
Hammersmith and Fulham,Criminal Damage,Other Criminal Damage,415,378,416,356,288,277,373,445,389,397,406
Hammersmith and Fulham,Drugs,Drug Trafficking,134,130,106,107,100,113,83,81,57,59,89
Hammersmith and Fulham,Drugs,Other Drugs,21,16,21,32,20,45,21,19,27,8,9
Hammersmith and Fulham,Drugs,Possession Of Drugs,1971,1858,1804,1439,1565,1865,1753,1334,1260,1007,836
Hammersmith and Fulham,Fraud or Forgery,Counted per Victim,455,487,528,431,497,47,0,0,0,0,0
Hammersmith and Fulham,Fraud or Forgery,Other Fraud & Forgery,236,314,261,274,379,42,30,21,28,46,39
Hammersmith and Fulham,Other Notifiable Offences,Going Equipped,44,45,64,81,46,44,63,52,56,50,37
Hammersmith and Fulham,Other Notifiable Offences,Other Notifiable,230,275,303,335,315,345,390,410,435,405,382
Hammersmith and Fulham,Robbery,Business Property,45,45,71,42,34,40,22,25,30,30,59
Hammersmith and Fulham,Robbery,Personal Property,666,651,783,774,689,541,349,334,373,536,716
Hammersmith and Fulham,Sexual Offences,Other Sexual,180,158,157,146,175,183,209,250,276,282,282
Hammersmith and Fulham,Sexual Offences,Rape,68,60,81,69,88,87,127,126,164,161,289
Hammersmith and Fulham,Theft and Handling,Handling Stolen Goods,96,100,115,136,96,89,75,58,71,35,38
Hammersmith and Fulham,Theft and Handling,Motor Vehicle Interference & Tampering,48,109,163,153,142,105,214,306,384,0,0
Hammersmith and Fulham,Theft and Handling,Other Theft,3126,3164,3092,3443,3623,3176,3181,3121,2897,2819,3153
Hammersmith and Fulham,Theft and Handling,Other Theft Person,858,1020,1056,1159,1202,986,758,824,634,650,738
Hammersmith and Fulham,Theft and Handling,Theft From Motor Vehicle,2296,2333,2178,2653,2300,1750,1737,1826,1692,2016,1857
Hammersmith and Fulham,Theft and Handling,Theft From Shops,1178,1686,1844,1818,1697,1651,1657,1575,1563,1445,1495
Hammersmith and Fulham,Theft and Handling,Theft/Taking Of Motor Vehicle,565,644,591,691,597,490,625,655,885,912,638
Hammersmith and Fulham,Theft and Handling,Theft/Taking of Pedal Cycle,1020,1303,1303,1226,1328,958,759,681,925,1216,1038
Hammersmith and Fulham,Violence Against the Person,Assault with Injury,1657,1529,1540,1280,1270,1006,1062,1142,1201,1185,1258
Hammersmith and Fulham,Violence Against the Person,Common Assault,892,1020,1272,1244,1154,1051,1356,1580,1738,1857,1921
Hammersmith and Fulham,Violence Against the Person,Grievous Bodily Harm,88,234,131,0,0,0,0,0,0,0,0
Hammersmith and Fulham,Violence Against the Person,Harassment,1793,1642,1504,1355,1455,1315,1709,2097,2339,2275,2407
Hammersmith and Fulham,Violence Against the Person,Murder,1,2,3,4,5,1,0,2,3,1,3
Hammersmith and Fulham,Violence Against the Person,Offensive Weapon,174,159,165,140,108,113,111,115,136,161,161
Hammersmith and Fulham,Violence Against the Person,Other violence,222,229,249,201,172,187,171,195,220,217,492
Hammersmith and Fulham,Violence Against the Person,Wounding/GBH,93,0,60,165,138,370,463,591,555,576,612
Haringey,Burglary,Burglary in a Dwelling,2883,2855,2400,2736,2634,1979,2181,1864,1854,1830,2613
Haringey,Burglary,Burglary in Other Buildings,863,873,876,883,809,769,708,699,620,1093,1073
Haringey,Criminal Damage,Criminal Damage To Dwelling,1050,931,792,690,620,529,565,545,545,541,495
Haringey,Criminal Damage,Criminal Damage To Motor Vehicle,1491,1302,1083,1104,922,684,750,774,810,754,673
Haringey,Criminal Damage,Criminal Damage To Other Building,271,215,232,254,199,214,258,243,250,219,181
Haringey,Criminal Damage,Other Criminal Damage,699,669,601,667,444,441,579,590,639,669,736
Haringey,Drugs,Drug Trafficking,253,178,199,85,220,102,141,178,104,114,111
Haringey,Drugs,Other Drugs,12,13,8,10,9,8,3,4,10,8,14
Haringey,Drugs,Possession Of Drugs,2342,2078,1575,1525,1355,1129,1044,1161,1468,1276,1193
Haringey,Fraud or Forgery,Counted per Victim,1051,955,912,921,546,59,0,0,0,0,0
Haringey,Fraud or Forgery,Other Fraud & Forgery,379,355,338,271,364,53,33,34,56,55,52
Haringey,Other Notifiable Offences,Going Equipped,16,22,11,12,15,14,22,27,21,12,16
Haringey,Other Notifiable Offences,Other Notifiable,280,254,236,232,274,267,380,435,564,494,546
Haringey,Robbery,Business Property,141,142,130,96,75,66,57,84,80,107,131
Haringey,Robbery,Personal Property,1081,950,929,1373,1073,860,957,1179,1191,1732,1732
Haringey,Sexual Offences,Other Sexual,187,235,274,210,240,186,292,374,386,401,418
Haringey,Sexual Offences,Rape,65,89,138,142,124,135,184,201,235,262,343
Haringey,Theft and Handling,Handling Stolen Goods,154,71,62,48,40,54,46,50,49,56,35
Haringey,Theft and Handling,Motor Vehicle Interference & Tampering,67,44,39,59,159,165,292,278,442,0,0
Haringey,Theft and Handling,Other Theft,2905,2796,2829,2592,3652,3239,3242,3415,3250,3528,3342
Haringey,Theft and Handling,Other Theft Person,1046,1029,962,1122,1260,1370,1154,1274,1824,2284,1740
Haringey,Theft and Handling,Theft From Motor Vehicle,3479,2783,2670,2900,2800,2577,2069,1827,1929,2455,3044
Haringey,Theft and Handling,Theft From Shops,716,850,996,878,871,846,1065,1392,1575,1450,1228
Haringey,Theft and Handling,Theft/Taking Of Motor Vehicle,1137,934,914,1347,881,821,781,749,1048,1125,1221
Haringey,Theft and Handling,Theft/Taking of Pedal Cycle,285,435,466,487,423,392,436,509,538,468,446
Haringey,Violence Against the Person,Assault with Injury,2198,2033,2044,1968,1919,1387,1777,1796,1956,2021,1936
Haringey,Violence Against the Person,Common Assault,1092,1095,1237,1202,1127,1046,1575,2020,2229,2513,2594
Haringey,Violence Against the Person,Grievous Bodily Harm,200,446,241,0,0,0,0,0,0,0,0
Haringey,Violence Against the Person,Harassment,1136,1064,864,752,1061,1034,1659,2267,2880,2955,3178
Haringey,Violence Against the Person,Murder,4,8,5,7,5,4,3,7,5,4,8
Haringey,Violence Against the Person,Offensive Weapon,228,188,148,133,116,105,118,182,212,303,302
Haringey,Violence Against the Person,Other violence,322,380,269,322,238,280,325,369,511,522,539
Haringey,Violence Against the Person,Wounding/GBH,127,0,102,329,312,660,853,956,936,1080,1019
Harrow,Burglary,Burglary in a Dwelling,1569,1741,1744,1995,1850,1658,1474,1307,1617,1684,1597
Harrow,Burglary,Burglary in Other Buildings,749,609,585,606,673,448,363,363,378,702,646
Harrow,Criminal Damage,Criminal Damage To Dwelling,442,447,338,301,276,253,204,215,212,220,234
Harrow,Criminal Damage,Criminal Damage To Motor Vehicle,841,822,798,696,549,503,537,546,574,492,404
Harrow,Criminal Damage,Criminal Damage To Other Building,152,191,159,125,120,108,102,103,110,87,82
Harrow,Criminal Damage,Other Criminal Damage,366,445,380,338,306,283,340,333,319,341,378
Harrow,Drugs,Drug Trafficking,62,72,49,58,87,76,86,129,66,85,34
Harrow,Drugs,Other Drugs,2,2,4,6,3,4,8,4,3,5,4
Harrow,Drugs,Possession Of Drugs,957,845,897,616,631,829,857,496,402,447,539
Harrow,Fraud or Forgery,Counted per Victim,530,617,680,566,406,54,0,0,0,0,0
Harrow,Fraud or Forgery,Other Fraud & Forgery,170,237,313,333,249,56,20,15,25,20,27
Harrow,Other Notifiable Offences,Going Equipped,10,8,10,5,10,8,14,11,7,3,4
Harrow,Other Notifiable Offences,Other Notifiable,201,211,214,223,223,229,229,201,275,248,310
Harrow,Robbery,Business Property,58,51,47,59,30,20,17,30,31,22,35
Harrow,Robbery,Personal Property,514,419,417,589,649,494,298,285,351,296,337
Harrow,Sexual Offences,Other Sexual,122,145,118,128,138,148,160,175,200,219,206
Harrow,Sexual Offences,Rape,42,62,59,50,49,75,97,82,105,122,154
Harrow,Theft and Handling,Handling Stolen Goods,37,32,26,38,29,20,14,20,21,9,10
Harrow,Theft and Handling,Motor Vehicle Interference & Tampering,97,152,118,78,85,71,123,256,204,0,0
Harrow,Theft and Handling,Other Theft,1520,1489,1575,1571,1607,1392,1448,1567,1565,1471,1596
Harrow,Theft and Handling,Other Theft Person,443,442,520,323,305,353,288,283,369,322,444
Harrow,Theft and Handling,Theft From Motor Vehicle,1582,1642,1758,1462,1624,1362,1171,1161,1087,1223,1195
Harrow,Theft and Handling,Theft From Shops,696,722,645,490,501,587,606,794,888,722,831
Harrow,Theft and Handling,Theft/Taking Of Motor Vehicle,491,334,366,332,263,236,192,207,290,373,521
Harrow,Theft and Handling,Theft/Taking of Pedal Cycle,138,151,143,177,171,116,130,153,155,144,166
Harrow,Violence Against the Person,Assault with Injury,1138,1075,1029,909,1009,823,842,903,909,945,947
Harrow,Violence Against the Person,Common Assault,723,866,810,712,741,755,1019,1268,1309,1375,1519
Harrow,Violence Against the Person,Grievous Bodily Harm,83,197,125,0,0,0,0,0,0,0,0
Harrow,Violence Against the Person,Harassment,728,961,1034,881,875,904,1060,1326,1382,1531,1793
Harrow,Violence Against the Person,Murder,1,3,4,0,0,0,1,3,1,2,0
Harrow,Violence Against the Person,Offensive Weapon,103,89,62,36,55,45,55,72,60,110,95
Harrow,Violence Against the Person,Other violence,202,207,230,127,150,218,163,252,260,266,270
Harrow,Violence Against the Person,Wounding/GBH,67,0,69,193,154,320,381,429,418,471,501
Havering,Burglary,Burglary in a Dwelling,1402,1738,1602,2037,2121,1941,1576,1393,1375,1716,1474
Havering,Burglary,Burglary in Other Buildings,1038,958,724,786,698,539,547,550,458,875,861
Havering,Criminal Damage,Criminal Damage To Dwelling,543,492,449,396,350,292,300,331,331,382,308
Havering,Criminal Damage,Criminal Damage To Motor Vehicle,1496,1130,1009,845,717,734,673,757,842,831,647
Havering,Criminal Damage,Criminal Damage To Other Building,335,269,237,192,145,137,157,146,149,141,113
Havering,Criminal Damage,Other Criminal Damage,582,544,495,411,391,339,437,433,501,499,430
Havering,Drugs,Drug Trafficking,55,88,97,103,100,112,108,80,74,52,37
Havering,Drugs,Other Drugs,1,1,1,1,4,4,1,1,2,3,0
Havering,Drugs,Possession Of Drugs,1032,910,966,964,958,912,651,649,658,469,494
Havering,Fraud or Forgery,Counted per Victim,1104,573,622,726,300,30,0,0,0,0,0
Havering,Fraud or Forgery,Other Fraud & Forgery,104,164,183,165,193,20,18,14,17,24,21
Havering,Other Notifiable Offences,Going Equipped,7,12,12,26,16,7,8,9,11,6,6
Havering,Other Notifiable Offences,Other Notifiable,192,171,212,213,236,246,313,356,392,356,402
Havering,Robbery,Business Property,54,58,42,45,53,25,21,25,28,69,66
Havering,Robbery,Personal Property,270,283,357,432,393,266,270,295,291,561,610
Havering,Sexual Offences,Other Sexual,131,168,153,139,127,135,293,279,243,307,290
Havering,Sexual Offences,Rape,37,49,60,68,54,68,103,105,117,172,172
Havering,Theft and Handling,Handling Stolen Goods,52,32,41,51,55,53,26,27,34,47,25
Havering,Theft and Handling,Motor Vehicle Interference & Tampering,156,114,132,115,135,200,202,231,241,0,0
Havering,Theft and Handling,Other Theft,1833,1857,1955,2173,2335,2206,2107,2140,2152,2116,2085
Havering,Theft and Handling,Other Theft Person,379,533,491,341,374,375,371,350,385,401,360
Havering,Theft and Handling,Theft From Motor Vehicle,1647,1237,1557,1482,1641,1644,1141,1074,959,1067,1160
Havering,Theft and Handling,Theft From Shops,1361,1429,1281,1227,915,947,1066,1097,1202,1346,1162
Havering,Theft and Handling,Theft/Taking Of Motor Vehicle,1147,896,897,942,938,789,751,787,837,1212,1383
Havering,Theft and Handling,Theft/Taking of Pedal Cycle,145,151,168,237,218,159,109,173,160,192,152
Havering,Violence Against the Person,Assault with Injury,1344,1351,1375,1204,1206,967,1084,1167,1403,1395,1355
Havering,Violence Against the Person,Common Assault,666,724,938,845,809,784,943,1349,1577,1607,1673
Havering,Violence Against the Person,Grievous Bodily Harm,78,233,134,0,0,0,0,0,0,0,0
Havering,Violence Against the Person,Harassment,612,774,1006,854,963,1007,1246,1673,2104,2124,2327
Havering,Violence Against the Person,Murder,1,1,0,1,1,2,0,0,2,4,2
Havering,Violence Against the Person,Offensive Weapon,133,90,74,77,73,68,68,77,93,125,161
Havering,Violence Against the Person,Other violence,98,112,122,135,113,152,164,234,238,257,331
Havering,Violence Against the Person,Wounding/GBH,94,0,103,221,200,322,490,581,595,609,588
Hillingdon,Burglary,Burglary in a Dwelling,1894,2428,2102,2600,2445,1988,1865,1476,1514,1781,1625
Hillingdon,Burglary,Burglary in Other Buildings,1066,964,992,1122,931,873,813,736,714,1235,1118
Hillingdon,Criminal Damage,Criminal Damage To Dwelling,836,747,611,543,473,432,428,419,491,422,425
Hillingdon,Criminal Damage,Criminal Damage To Motor Vehicle,1764,1667,1510,1370,1017,938,1184,1008,1096,1321,959
Hillingdon,Criminal Damage,Criminal Damage To Other Building,368,234,307,237,206,210,209,201,196,202,146
Hillingdon,Criminal Damage,Other Criminal Damage,838,804,755,693,548,545,561,654,663,713,669
Hillingdon,Drugs,Drug Trafficking,125,115,94,136,96,222,124,107,254,76,53
Hillingdon,Drugs,Other Drugs,2,2,5,4,7,2,6,7,8,4,5
Hillingdon,Drugs,Possession Of Drugs,1798,1446,1333,1374,963,771,784,963,753,782,895
Hillingdon,Fraud or Forgery,Counted per Victim,995,924,935,546,520,29,0,0,0,0,0
Hillingdon,Fraud or Forgery,Other Fraud & Forgery,282,257,236,257,259,39,15,21,41,57,58
Hillingdon,Other Notifiable Offences,Going Equipped,11,11,15,9,12,13,12,10,9,22,12
Hillingdon,Other Notifiable Offences,Other Notifiable,311,324,353,321,295,346,356,379,448,1800,1629
Hillingdon,Robbery,Business Property,79,63,88,68,56,39,42,37,32,58,61
Hillingdon,Robbery,Personal Property,730,638,734,852,814,519,466,289,396,468,521
Hillingdon,Sexual Offences,Other Sexual,200,198,224,199,172,180,285,277,318,409,375
Hillingdon,Sexual Offences,Rape,43,60,77,76,85,111,125,146,147,184,197
Hillingdon,Theft and Handling,Handling Stolen Goods,64,51,60,69,34,53,31,39,31,42,18
Hillingdon,Theft and Handling,Motor Vehicle Interference & Tampering,92,226,174,236,238,107,309,379,387,0,0
Hillingdon,Theft and Handling,Other Theft,2247,2021,2134,2570,2648,2613,2704,2757,2549,3926,4062
Hillingdon,Theft and Handling,Other Theft Person,451,526,462,490,496,451,405,400,410,456,494
Hillingdon,Theft and Handling,Theft From Motor Vehicle,2827,3105,2430,2837,2282,1945,2149,1824,1764,2656,2904
Hillingdon,Theft and Handling,Theft From Shops,1038,1177,1131,1062,1115,1108,1363,1590,1749,2004,1943
Hillingdon,Theft and Handling,Theft/Taking Of Motor Vehicle,981,723,660,697,561,461,497,553,755,1125,1193
Hillingdon,Theft and Handling,Theft/Taking of Pedal Cycle,307,295,263,318,330,279,295,343,307,406,313
Hillingdon,Violence Against the Person,Assault with Injury,2330,2149,2093,1923,1750,1386,1639,1661,1727,1721,1759
Hillingdon,Violence Against the Person,Common Assault,744,951,1133,1149,1091,1155,1784,2053,2034,2344,2358
Hillingdon,Violence Against the Person,Grievous Bodily Harm,121,422,234,0,0,0,0,0,0,0,0
Hillingdon,Violence Against the Person,Harassment,2269,2006,2036,1662,1621,1431,2169,2534,2775,2871,3146
Hillingdon,Violence Against the Person,Murder,3,2,2,2,0,3,2,6,5,2,4
Hillingdon,Violence Against the Person,Offensive Weapon,158,136,99,95,59,81,63,81,98,176,210
Hillingdon,Violence Against the Person,Other violence,264,252,260,241,225,313,313,295,356,372,388
Hillingdon,Violence Against the Person,Wounding/GBH,152,0,99,297,225,467,635,736,711,788,809
Hounslow,Burglary,Burglary in a Dwelling,1663,2013,1786,1953,2051,1740,1238,1196,1162,1683,1691
Hounslow,Burglary,Burglary in Other Buildings,872,737,734,780,887,740,691,591,653,1123,1063
Hounslow,Criminal Damage,Criminal Damage To Dwelling,787,716,642,610,485,397,390,451,431,407,357
Hounslow,Criminal Damage,Criminal Damage To Motor Vehicle,1515,1361,1307,1194,1060,949,870,963,970,937,860
Hounslow,Criminal Damage,Criminal Damage To Other Building,302,232,242,236,202,202,176,201,216,181,165
