Borough,Major Category,Minor Category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hounslow,Criminal Damage,Other Criminal Damage,626,621,605,604,524,450,518,569,617,590,621
Hounslow,Drugs,Drug Trafficking,136,150,158,157,106,123,148,92,100,113,97
Hounslow,Drugs,Other Drugs,5,4,7,7,7,3,8,5,9,3,8
Hounslow,Drugs,Possession Of Drugs,1994,1684,1684,1618,1530,1395,1400,1017,1000,1110,1130
Hounslow,Fraud or Forgery,Counted per Victim,919,726,980,1086,517,45,0,0,0,0,0
Hounslow,Fraud or Forgery,Other Fraud & Forgery,280,307,322,300,363,29,25,14,33,43,28
Hounslow,Other Notifiable Offences,Going Equipped,18,21,20,19,18,22,17,14,16,19,13
Hounslow,Other Notifiable Offences,Other Notifiable,368,338,339,402,335,278,350,424,523,540,528
Hounslow,Robbery,Business Property,70,40,42,25,41,27,25,21,23,44,49
Hounslow,Robbery,Personal Property,687,609,595,659,727,458,388,367,384,439,619
Hounslow,Sexual Offences,Other Sexual,188,201,213,188,212,217,327,350,331,349,350
Hounslow,Sexual Offences,Rape,65,74,111,90,87,110,160,180,214,203,255
Hounslow,Theft and Handling,Handling Stolen Goods,53,55,49,68,60,41,46,31,33,49,27
Hounslow,Theft and Handling,Motor Vehicle Interference & Tampering,53,99,107,125,183,103,221,347,429,0,0
Hounslow,Theft and Handling,Other Theft,2508,2317,2434,2699,3119,2682,2646,2683,2635,2874,2784
Hounslow,Theft and Handling,Other Theft Person,518,530,465,540,594,506,408,456,410,413,544
Hounslow,Theft and Handling,Theft From Motor Vehicle,2142,2341,2178,2588,2545,1920,1747,1949,2033,2310,2576
Hounslow,Theft and Handling,Theft From Shops,1228,1330,1503,1397,1461,1516,1543,1640,1728,1645,1216
Hounslow,Theft and Handling,Theft/Taking Of Motor Vehicle,794,741,625,684,619,427,495,535,816,821,940
Hounslow,Theft and Handling,Theft/Taking of Pedal Cycle,579,610,651,724,673,575,467,535,588,805,737
Hounslow,Violence Against the Person,Assault with Injury,1971,1873,1939,1776,1736,1330,1444,1615,1665,1695,1768
Hounslow,Violence Against the Person,Common Assault,1457,1448,1633,1698,1491,1428,1761,2042,2057,2366,2566
Hounslow,Violence Against the Person,Grievous Bodily Harm,136,262,131,0,0,0,0,0,0,0,0
Hounslow,Violence Against the Person,Harassment,1489,1610,1604,1437,1669,1557,1919,2423,2642,2810,3058
Hounslow,Violence Against the Person,Murder,1,2,2,0,2,0,1,1,1,3,1
Hounslow,Violence Against the Person,Offensive Weapon,132,145,99,113,71,65,73,63,107,174,203
Hounslow,Violence Against the Person,Other violence,300,307,270,231,224,208,239,347,331,390,378
Hounslow,Violence Against the Person,Wounding/GBH,106,0,74,189,205,473,621,675,701,739,786
Islington,Burglary,Burglary in a Dwelling,1725,1672,1477,1660,1425,1270,1332,1431,1129,1490,1924
Islington,Burglary,Burglary in Other Buildings,1236,1316,1151,1160,1005,1152,1053,923,919,1296,1136
Islington,Criminal Damage,Criminal Damage To Dwelling,740,747,673,589,574,471,491,525,480,453,450
Islington,Criminal Damage,Criminal Damage To Motor Vehicle,1100,1041,892,739,629,570,755,671,628,673,533
Islington,Criminal Damage,Criminal Damage To Other Building,281,256,245,232,226,206,251,220,248,179,184
Islington,Criminal Damage,Other Criminal Damage,574,568,451,500,466,389,482,593,547,519,526
Islington,Drugs,Drug Trafficking,322,155,170,155,220,212,157,125,117,106,64
Islington,Drugs,Other Drugs,17,14,26,17,17,11,13,4,11,13,8
Islington,Drugs,Possession Of Drugs,3142,2401,1760,1616,1526,1216,1163,1301,1706,1316,1178
Islington,Fraud or Forgery,Counted per Victim,389,433,541,388,552,33,0,0,0,0,0
Islington,Fraud or Forgery,Other Fraud & Forgery,290,344,331,267,319,55,28,37,32,49,47
Islington,Other Notifiable Offences,Going Equipped,37,37,27,40,25,22,25,16,18,22,10
Islington,Other Notifiable Offences,Other Notifiable,389,381,354,328,364,369,436,487,505,486,495
Islington,Robbery,Business Property,89,111,127,96,67,69,68,67,78,82,114
Islington,Robbery,Personal Property,1057,845,852,1103,1130,895,785,941,876,1730,1409
Islington,Sexual Offences,Other Sexual,214,179,206,182,205,214,278,325,338,412,405
Islington,Sexual Offences,Rape,64,79,80,115,92,93,148,160,184,264,232
Islington,Theft and Handling,Handling Stolen Goods,185,86,106,119,78,91,63,70,57,43,55
Islington,Theft and Handling,Motor Vehicle Interference & Tampering,190,244,289,196,131,127,228,336,308,0,0
Islington,Theft and Handling,Other Theft,4719,4288,4532,4843,5327,4175,3790,4002,3645,3762,3928
Islington,Theft and Handling,Other Theft Person,1301,1345,1639,2470,3646,3960,2935,3925,3561,6004,2849
Islington,Theft and Handling,Theft From Motor Vehicle,2591,2495,2292,1950,1765,1522,1385,1411,1445,1794,1800
Islington,Theft and Handling,Theft From Shops,1133,1265,1356,1287,1098,938,1227,1305,1513,1515,1329
Islington,Theft and Handling,Theft/Taking Of Motor Vehicle,789,866,790,761,601,630,834,737,666,868,735
Islington,Theft and Handling,Theft/Taking of Pedal Cycle,1255,1791,1632,1471,1155,1041,1164,1014,966,1181,1150
Islington,Violence Against the Person,Assault with Injury,1861,1919,1689,1554,1572,1174,1437,1464,1487,1546,1596
Islington,Violence Against the Person,Common Assault,1431,1534,1550,1449,1378,1310,1841,2059,2017,2112,2137
Islington,Violence Against the Person,Grievous Bodily Harm,186,376,190,0,0,0,0,0,0,0,0
Islington,Violence Against the Person,Harassment,1659,1699,2022,1610,1802,1593,2250,2701,3018,2830,2974
Islington,Violence Against the Person,Murder,8,3,6,4,4,5,3,8,4,6,5
Islington,Violence Against the Person,Offensive Weapon,205,148,145,147,134,117,143,152,188,231,212
Islington,Violence Against the Person,Other violence,209,220,215,186,223,212,224,292,325,325,351
Islington,Violence Against the Person,Wounding/GBH,159,0,125,290,261,544,705,861,836,903,886
Kensington and Chelsea,Burglary,Burglary in a Dwelling,988,971,920,1046,1044,979,909,972,860,1213,1374
Kensington and Chelsea,Burglary,Burglary in Other Buildings,806,731,700,693,740,784,678,618,586,923,1043
Kensington and Chelsea,Criminal Damage,Criminal Damage To Dwelling,357,308,272,282,236,186,204,233,234,247,253
Kensington and Chelsea,Criminal Damage,Criminal Damage To Motor Vehicle,564,460,486,493,411,345,336,385,412,462,406
Kensington and Chelsea,Criminal Damage,Criminal Damage To Other Building,204,146,167,154,156,102,159,141,122,115,109
Kensington and Chelsea,Criminal Damage,Other Criminal Damage,315,278,258,243,263,201,278,311,288,300,328
Kensington and Chelsea,Drugs,Drug Trafficking,100,102,134,73,64,55,45,55,61,95,53
Kensington and Chelsea,Drugs,Other Drugs,12,12,11,2,6,16,7,9,8,13,12
Kensington and Chelsea,Drugs,Possession Of Drugs,2902,2098,2142,1595,1349,1061,731,1015,1691,1545,1407
Kensington and Chelsea,Fraud or Forgery,Counted per Victim,358,413,393,388,502,54,0,0,0,0,0
Kensington and Chelsea,Fraud or Forgery,Other Fraud & Forgery,439,581,426,394,435,72,23,18,37,73,54
Kensington and Chelsea,Other Notifiable Offences,Going Equipped,41,31,48,24,16,8,14,27,27,28,22
Kensington and Chelsea,Other Notifiable Offences,Other Notifiable,225,239,202,168,202,212,242,274,314,329,318
Kensington and Chelsea,Robbery,Business Property,34,45,43,40,24,34,33,24,37,38,60
Kensington and Chelsea,Robbery,Personal Property,506,500,478,579,636,511,439,385,487,645,671
Kensington and Chelsea,Sexual Offences,Other Sexual,123,118,119,110,140,142,220,187,211,204,242
Kensington and Chelsea,Sexual Offences,Rape,46,44,38,70,62,80,101,107,133,163,162
Kensington and Chelsea,Theft and Handling,Handling Stolen Goods,87,69,54,56,41,45,32,25,37,38,27
Kensington and Chelsea,Theft and Handling,Motor Vehicle Interference & Tampering,53,47,40,68,97,80,167,268,331,0,0
Kensington and Chelsea,Theft and Handling,Other Theft,4849,4545,5223,5466,5903,4978,4437,4223,3660,3467,3715
Kensington and Chelsea,Theft and Handling,Other Theft Person,1217,1309,1180,1169,1675,1788,1213,1352,1129,1366,1536
Kensington and Chelsea,Theft and Handling,Theft From Motor Vehicle,2064,1576,1523,1499,1643,1521,1380,1514,1722,2096,1990
Kensington and Chelsea,Theft and Handling,Theft From Shops,1801,1799,1877,1801,1646,1464,1749,1764,1672,1712,1713
Kensington and Chelsea,Theft and Handling,Theft/Taking Of Motor Vehicle,526,511,519,550,557,467,774,719,914,706,568
Kensington and Chelsea,Theft and Handling,Theft/Taking of Pedal Cycle,790,928,921,775,820,653,651,487,545,701,544
Kensington and Chelsea,Violence Against the Person,Assault with Injury,1070,1012,1017,950,902,678,769,846,791,949,925
Kensington and Chelsea,Violence Against the Person,Common Assault,748,805,717,823,716,696,1046,1345,1301,1487,1570
Kensington and Chelsea,Violence Against the Person,Grievous Bodily Harm,65,134,79,0,0,0,0,0,0,0,0
Kensington and Chelsea,Violence Against the Person,Harassment,931,832,916,792,777,756,1230,1708,1832,1778,2064
Kensington and Chelsea,Violence Against the Person,Murder,0,0,0,0,0,0,3,4,1,1,2
Kensington and Chelsea,Violence Against the Person,Offensive Weapon,136,68,76,72,62,50,51,136,187,171,165
Kensington and Chelsea,Violence Against the Person,Other violence,131,125,100,95,108,121,105,147,171,201,211
Kensington and Chelsea,Violence Against the Person,Wounding/GBH,68,0,44,99,125,270,434,418,455,451,457
Kingston upon Thames,Burglary,Burglary in a Dwelling,550,698,623,780,839,711,597,565,562,896,772
Kingston upon Thames,Burglary,Burglary in Other Buildings,524,554,569,556,534,483,397,367,324,477,453
Kingston upon Thames,Criminal Damage,Criminal Damage To Dwelling,312,288,245,185,197,153,162,194,205,171,183
Kingston upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,839,660,578,483,497,437,424,420,460,427,392
Kingston upon Thames,Criminal Damage,Criminal Damage To Other Building,230,233,176,174,143,139,138,143,145,111,82
Kingston upon Thames,Criminal Damage,Other Criminal Damage,322,301,331,316,263,222,261,273,252,296,302
Kingston upon Thames,Drugs,Drug Trafficking,91,54,85,77,41,36,59,58,44,44,18
Kingston upon Thames,Drugs,Other Drugs,0,1,0,2,0,3,2,3,6,4,0
Kingston upon Thames,Drugs,Possession Of Drugs,573,491,447,601,382,566,705,857,713,547,404
Kingston upon Thames,Fraud or Forgery,Counted per Victim,261,280,316,394,229,16,0,0,0,0,0
Kingston upon Thames,Fraud or Forgery,Other Fraud & Forgery,163,187,137,141,141,22,6,18,16,32,19
Kingston upon Thames,Other Notifiable Offences,Going Equipped,9,15,7,5,12,12,10,8,13,15,5
Kingston upon Thames,Other Notifiable Offences,Other Notifiable,148,143,145,123,109,94,134,199,181,186,251
Kingston upon Thames,Robbery,Business Property,13,27,17,7,17,17,8,12,10,17,27
Kingston upon Thames,Robbery,Personal Property,256,251,224,237,219,142,102,98,110,160,234
Kingston upon Thames,Sexual Offences,Other Sexual,95,107,122,117,100,104,134,165,169,201,242
Kingston upon Thames,Sexual Offences,Rape,24,33,46,59,73,45,60,75,94,128,137
Kingston upon Thames,Theft and Handling,Handling Stolen Goods,51,24,14,21,31,19,16,10,13,19,9
Kingston upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,96,69,46,40,80,37,77,84,134,0,0
Kingston upon Thames,Theft and Handling,Other Theft,1636,1516,1670,1712,1603,1479,1391,1298,1310,1248,1479
Kingston upon Thames,Theft and Handling,Other Theft Person,341,399,433,412,555,487,300,375,376,340,478
Kingston upon Thames,Theft and Handling,Theft From Motor Vehicle,879,712,692,652,673,607,525,464,448,819,787
Kingston upon Thames,Theft and Handling,Theft From Shops,1027,1217,1289,1118,947,1011,1127,916,1010,1079,1034
Kingston upon Thames,Theft and Handling,Theft/Taking Of Motor Vehicle,296,212,195,158,139,117,156,155,268,307,366
Kingston upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,471,451,478,524,477,440,377,278,281,354,650
Kingston upon Thames,Violence Against the Person,Assault with Injury,1004,947,962,973,916,631,569,726,761,805,903
Kingston upon Thames,Violence Against the Person,Common Assault,578,542,600,627,535,544,684,801,812,920,1022
Kingston upon Thames,Violence Against the Person,Grievous Bodily Harm,112,216,136,0,0,0,0,0,0,0,0
Kingston upon Thames,Violence Against the Person,Harassment,366,370,333,269,610,540,756,1030,1167,1293,1520
Kingston upon Thames,Violence Against the Person,Murder,0,1,0,1,2,1,3,0,1,2,3
Kingston upon Thames,Violence Against the Person,Offensive Weapon,66,29,38,57,31,30,40,45,49,73,76
Kingston upon Thames,Violence Against the Person,Other violence,115,102,81,94,58,76,66,106,106,176,172
Kingston upon Thames,Violence Against the Person,Wounding/GBH,106,0,72,174,131,244,296,345,319,342,329
Lambeth,Burglary,Burglary in a Dwelling,2485,3048,2410,2807,2561,2626,1994,1624,2033,2012,2377
Lambeth,Burglary,Burglary in Other Buildings,874,874,882,1002,1075,1288,1053,952,1068,1268,1558
Lambeth,Criminal Damage,Criminal Damage To Dwelling,1163,1158,1005,953,741,723,650,614,691,702,537
Lambeth,Criminal Damage,Criminal Damage To Motor Vehicle,1504,1394,1295,1130,980,947,958,1051,979,930,889
Lambeth,Criminal Damage,Criminal Damage To Other Building,393,391,353,307,270,291,318,346,328,326,247
Lambeth,Criminal Damage,Other Criminal Damage,696,662,630,688,538,478,649,686,780,671,738
Lambeth,Drugs,Drug Trafficking,205,210,176,269,184,190,252,279,255,209,163
Lambeth,Drugs,Other Drugs,43,25,28,24,15,18,33,44,37,21,23
Lambeth,Drugs,Possession Of Drugs,4054,3241,2991,2821,2183,1745,2385,2391,2496,2095,1961
Lambeth,Fraud or Forgery,Counted per Victim,571,497,681,754,676,63,0,0,0,0,0
Lambeth,Fraud or Forgery,Other Fraud & Forgery,419,529,500,481,419,96,51,55,45,67,43
Lambeth,Other Notifiable Offences,Going Equipped,50,44,19,25,32,25,38,39,44,24,24
Lambeth,Other Notifiable Offences,Other Notifiable,586,530,473,386,397,411,577,644,625,681,646
Lambeth,Robbery,Business Property,176,256,224,242,177,130,84,111,91,94,88
Lambeth,Robbery,Personal Property,2001,2111,2415,2871,2555,2335,1326,1092,1136,1419,1266
Lambeth,Sexual Offences,Other Sexual,355,362,353,331,320,313,431,571,548,566,595
Lambeth,Sexual Offences,Rape,133,175,206,187,166,184,293,304,314,355,432
Lambeth,Theft and Handling,Handling Stolen Goods,114,78,96,124,85,100,102,72,98,82,54
Lambeth,Theft and Handling,Motor Vehicle Interference & Tampering,70,49,46,58,179,153,344,525,484,0,0
Lambeth,Theft and Handling,Other Theft,4949,4550,5079,5550,6163,5178,5064,5182,4945,5002,5087
Lambeth,Theft and Handling,Other Theft Person,1676,1712,2119,2900,3694,3598,2109,1962,2121,2164,1968
Lambeth,Theft and Handling,Theft From Motor Vehicle,2373,2175,2612,2640,2514,2306,2140,2049,1934,1669,2410
Lambeth,Theft and Handling,Theft From Shops,858,946,980,782,788,864,1176,1465,1558,1515,1194
Lambeth,Theft and Handling,Theft/Taking Of Motor Vehicle,1093,1041,940,994,958,787,875,859,1127,1040,882
Lambeth,Theft and Handling,Theft/Taking of Pedal Cycle,990,1320,1138,1336,1229,1264,1092,1022,1087,1186,1028
Lambeth,Violence Against the Person,Assault with Injury,2620,2713,2616,2463,2468,1915,2282,2321,2391,2360,2222
Lambeth,Violence Against the Person,Common Assault,1871,1938,2110,1985,1756,1740,2381,2880,2798,2939,2859
Lambeth,Violence Against the Person,Grievous Bodily Harm,258,562,391,0,0,0,0,0,0,0,0
Lambeth,Violence Against the Person,Harassment,1801,1717,1738,1577,1829,1815,2647,3339,3246,3292,3474
Lambeth,Violence Against the Person,Murder,14,8,8,11,3,6,3,5,0,4,6
Lambeth,Violence Against the Person,Offensive Weapon,425,301,300,258,171,219,267,335,381,475,434
Lambeth,Violence Against the Person,Other violence,609,467,412,387,350,342,358,475,544,502,587
Lambeth,Violence Against the Person,Wounding/GBH,275,0,235,552,443,913,1160,1235,1258,1291,1161
Lewisham,Burglary,Burglary in a Dwelling,1901,2109,2211,2300,2277,2537,1647,1454,1421,1730,2075
Lewisham,Burglary,Burglary in Other Buildings,915,1010,956,948,1029,766,684,692,658,962,992
Lewisham,Criminal Damage,Criminal Damage To Dwelling,1153,1258,1068,874,724,632,610,635,587,655,582
Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,1777,1498,1379,1165,971,889,834,986,950,887,809
Lewisham,Criminal Damage,Criminal Damage To Other Building,306,259,218,251,194,222,214,217,200,195,164
Lewisham,Criminal Damage,Other Criminal Damage,717,779,693,652,548,468,531,630,631,619,685
Lewisham,Drugs,Drug Trafficking,172,193,124,163,146,165,158,174,163,142,142
Lewisham,Drugs,Other Drugs,8,9,19,22,12,15,14,17,17,14,6
Lewisham,Drugs,Possession Of Drugs,2595,2470,2339,2042,1328,1560,1160,1420,1483,1134,1128
Lewisham,Fraud or Forgery,Counted per Victim,1150,933,1037,1137,571,45,0,0,0,0,0
Lewisham,Fraud or Forgery,Other Fraud & Forgery,483,470,478,416,385,59,36,38,43,49,48
Lewisham,Other Notifiable Offences,Going Equipped,22,17,16,19,18,22,10,12,26,11,17
Lewisham,Other Notifiable Offences,Other Notifiable,457,551,567,435,341,335,384,433,495,477,586
Lewisham,Robbery,Business Property,157,138,139,123,117,115,58,73,87,105,96
Lewisham,Robbery,Personal Property,1224,1168,1353,1591,1232,1172,736,750,786,897,948
Lewisham,Sexual Offences,Other Sexual,290,243,238,288,291,273,344,389,424,424,427
Lewisham,Sexual Offences,Rape,111,111,141,142,132,170,225,226,274,285,332
Lewisham,Theft and Handling,Handling Stolen Goods,78,61,54,55,67,72,60,67,72,56,40
Lewisham,Theft and Handling,Motor Vehicle Interference & Tampering,227,177,171,150,131,130,168,292,316,0,0
Lewisham,Theft and Handling,Other Theft,2844,2586,2746,3130,3678,2848,2812,2849,2753,2784,2712
Lewisham,Theft and Handling,Other Theft Person,828,731,801,778,740,784,599,524,607,556,511
Lewisham,Theft and Handling,Theft From Motor Vehicle,2729,2189,2372,2099,2173,1613,1434,1505,1436,1461,1858
Lewisham,Theft and Handling,Theft From Shops,1253,1338,1456,1155,936,882,1082,1172,1335,1147,1183
Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,1262,933,1000,946,872,730,654,901,865,965,1013
Lewisham,Theft and Handling,Theft/Taking of Pedal Cycle,304,581,487,532,499,348,391,333,372,374,376
Lewisham,Violence Against the Person,Assault with Injury,2821,2326,2231,2086,1917,1609,1757,1811,1960,1892,1840
Lewisham,Violence Against the Person,Common Assault,1998,1937,1767,1629,1515,1547,1993,2391,2421,2489,2353
Lewisham,Violence Against the Person,Grievous Bodily Harm,133,420,189,0,0,0,0,0,0,0,0
Lewisham,Violence Against the Person,Harassment,2891,2699,2075,1973,1752,1739,2060,2824,2932,2974,3379
Lewisham,Violence Against the Person,Murder,5,7,8,5,6,4,3,3,5,4,5
Lewisham,Violence Against the Person,Offensive Weapon,273,230,225,205,138,172,153,222,270,294,282
Lewisham,Violence Against the Person,Other violence,437,394,301,321,303,327,273,373,411,504,471
Lewisham,Violence Against the Person,Wounding/GBH,205,0,129,284,281,629,754,872,928,1039,961
Merton,Burglary,Burglary in a Dwelling,1085,1113,1207,1455,1333,1134,1033,922,937,1192,1276
Merton,Burglary,Burglary in Other Buildings,756,784,864,956,703,657,656,516,490,490,540
Merton,Criminal Damage,Criminal Damage To Dwelling,532,521,450,428,343,281,284,340,308,255,244
Merton,Criminal Damage,Criminal Damage To Motor Vehicle,1068,977,790,766,559,568,563,609,657,589,459
Merton,Criminal Damage,Criminal Damage To Other Building,212,199,198,162,139,134,138,128,99,85,89
Merton,Criminal Damage,Other Criminal Damage,397,412,376,333,287,234,282,359,356,354,368
Merton,Drugs,Drug Trafficking,67,57,57,60,100,82,51,30,41,51,17
Merton,Drugs,Other Drugs,8,5,7,13,7,2,1,2,4,3,2
Merton,Drugs,Possession Of Drugs,872,794,891,925,747,557,517,455,427,549,458
Merton,Fraud or Forgery,Counted per Victim,536,359,367,400,309,27,0,0,0,0,0
Merton,Fraud or Forgery,Other Fraud & Forgery,196,208,157,172,218,36,15,17,21,32,24
Merton,Other Notifiable Offences,Going Equipped,6,9,14,15,7,12,11,9,9,16,12
Merton,Other Notifiable Offences,Other Notifiable,211,185,119,95,153,147,160,199,243,255,306
Merton,Robbery,Business Property,92,78,74,66,42,23,21,27,29,30,47
Merton,Robbery,Personal Property,437,481,491,584,530,411,267,238,256,326,342
Merton,Sexual Offences,Other Sexual,163,134,147,133,117,148,136,177,199,221,242
Merton,Sexual Offences,Rape,54,35,79,70,43,70,84,94,112,135,110
Merton,Theft and Handling,Handling Stolen Goods,36,37,44,46,56,43,33,28,22,21,16
Merton,Theft and Handling,Motor Vehicle Interference & Tampering,59,69,87,60,103,92,161,179,213,0,0
Merton,Theft and Handling,Other Theft,1612,1532,1690,1601,1974,1757,1610,1700,1569,1464,1479
Merton,Theft and Handling,Other Theft Person,261,282,325,278,326,373,247,267,223,229,238
Merton,Theft and Handling,Theft From Motor Vehicle,1047,1161,1311,1402,1520,1272,1091,907,961,984,1073
Merton,Theft and Handling,Theft From Shops,873,872,919,829,780,775,726,844,916,1042,997
Merton,Theft and Handling,Theft/Taking Of Motor Vehicle,570,522,565,478,379,288,402,385,669,570,571
Merton,Theft and Handling,Theft/Taking of Pedal Cycle,358,442,390,563,332,395,371,299,371,485,378
Merton,Violence Against the Person,Assault with Injury,1320,1265,1099,942,850,663,792,931,947,986,913
Merton,Violence Against the Person,Common Assault,899,832,837,731,684,663,874,1121,1087,1198,1213
Merton,Violence Against the Person,Grievous Bodily Harm,86,224,73,0,0,0,0,0,0,0,0
Merton,Violence Against the Person,Harassment,1015,961,699,593,774,716,893,1281,1386,1487,1678
Merton,Violence Against the Person,Murder,5,1,0,1,1,1,0,2,1,3,2
Merton,Violence Against the Person,Offensive Weapon,127,93,93,83,62,47,49,59,86,107,97
Merton,Violence Against the Person,Other violence,186,142,128,112,95,140,112,157,181,186,169
Merton,Violence Against the Person,Wounding/GBH,64,0,45,109,113,252,337,378,407,434,431
Newham,Burglary,Burglary in a Dwelling,2107,2199,2337,2105,2012,2070,1739,1468,1209,1536,1751
Newham,Burglary,Burglary in Other Buildings,1228,1301,1299,1142,1075,849,750,812,893,1230,1358
Newham,Criminal Damage,Criminal Damage To Dwelling,1083,1118,1052,861,700,570,576,546,550,557,560
Newham,Criminal Damage,Criminal Damage To Motor Vehicle,1919,1524,1260,938,904,826,892,981,1026,964,873
Newham,Criminal Damage,Criminal Damage To Other Building,289,297,290,215,238,207,216,226,237,215,214
Newham,Criminal Damage,Other Criminal Damage,754,738,696,606,537,487,551,650,689,678,752
Newham,Drugs,Drug Trafficking,125,115,129,116,102,127,134,164,188,229,133
Newham,Drugs,Other Drugs,6,8,18,6,9,14,10,6,8,7,6
Newham,Drugs,Possession Of Drugs,2583,2471,2827,2206,1790,1499,1605,1540,1518,1925,1925
Newham,Fraud or Forgery,Counted per Victim,1292,961,896,971,1018,109,0,0,0,0,0
Newham,Fraud or Forgery,Other Fraud & Forgery,534,682,664,683,777,99,30,46,47,46,62
Newham,Other Notifiable Offences,Going Equipped,14,13,21,25,19,20,30,23,23,39,35
Newham,Other Notifiable Offences,Other Notifiable,436,399,449,425,446,408,556,586,670,689,694
Newham,Robbery,Business Property,227,193,180,128,120,98,83,85,96,119,119
Newham,Robbery,Personal Property,1564,1890,2202,2277,2216,2051,1556,1325,1403,1934,1701
Newham,Sexual Offences,Other Sexual,210,291,296,258,226,293,361,513,464,515,540
Newham,Sexual Offences,Rape,118,124,191,173,161,219,240,298,279,358,400
Newham,Theft and Handling,Handling Stolen Goods,124,102,73,77,56,65,90,83,78,67,74
Newham,Theft and Handling,Motor Vehicle Interference & Tampering,182,145,323,366,203,204,314,461,542,0,0
Newham,Theft and Handling,Other Theft,3270,3052,3788,3636,4899,4148,4103,4105,3910,4273,4567
Newham,Theft and Handling,Other Theft Person,1091,1282,1525,1533,2365,2205,1586,1467,1408,1513,1958
Newham,Theft and Handling,Theft From Motor Vehicle,4835,4401,4404,3367,3013,3055,2309,2423,2668,2866,3122
Newham,Theft and Handling,Theft From Shops,1175,1109,1178,1194,1416,1314,1639,1608,1912,2329,2299
Newham,Theft and Handling,Theft/Taking Of Motor Vehicle,1544,1204,1432,1574,1102,1046,1104,896,1058,1417,1456
Newham,Theft and Handling,Theft/Taking of Pedal Cycle,360,436,521,526,648,428,404,483,526,550,569
Newham,Violence Against the Person,Assault with Injury,2773,2655,2578,2210,2179,1619,1969,2146,2060,2104,2119
Newham,Violence Against the Person,Common Assault,1994,2229,2261,2087,2045,1876,2415,2755,2788,3110,3222
Newham,Violence Against the Person,Grievous Bodily Harm,212,615,276,0,0,0,0,0,0,0,0
Newham,Violence Against the Person,Harassment,1489,1347,1379,1319,1568,1425,1968,2687,2812,3133,3294
Newham,Violence Against the Person,Murder,5,8,14,3,3,7,5,5,6,11,4
Newham,Violence Against the Person,Offensive Weapon,351,225,224,204,149,163,159,209,254,383,326
Newham,Violence Against the Person,Other violence,249,239,310,276,356,364,376,496,615,591,708
Newham,Violence Against the Person,Wounding/GBH,236,0,194,403,387,734,1056,1182,1230,1164,1100
Redbridge,Burglary,Burglary in a Dwelling,2329,2668,2645,3096,2715,2360,2077,1745,1517,2398,2344
Redbridge,Burglary,Burglary in Other Buildings,973,780,719,694,683,630,558,500,473,1185,1100
Redbridge,Criminal Damage,Criminal Damage To Dwelling,559,536,571,551,424,301,352,325,305,368,326
